    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on build directory
    Finished release [optimized] target(s) in 0.84s
     Running `/home/harshalh/workspaces/epirust/engine/target/release/epirust -c /home/harshalh/workspaces/epirust/engine/config/low_baseline.json`
[2020-07-07T05:07:30Z INFO  epirust::geography::grid] Hospital capacity 15687: 
[2020-07-07T05:07:31Z INFO  epirust::epidemiology_simulation] Initialization completed in 9.639428 seconds
[2020-07-07T05:07:31Z INFO  epirust::listeners::events::counts] S: 3130695, E:6529, I: 0, H: 0, R: 0, D: 0
[2020-07-07T05:12:20Z INFO  epirust::epidemiology_simulation] Throughput: 0.34690887 iterations/sec; simulation hour 100 of 10000
[2020-07-07T05:12:20Z INFO  epirust::listeners::events::counts] S: 3130695, E:0, I: 6529, H: 0, R: 0, D: 0
[2020-07-07T05:16:55Z INFO  epirust::epidemiology_simulation] Throughput: 0.35499078 iterations/sec; simulation hour 200 of 10000
[2020-07-07T05:16:55Z INFO  epirust::listeners::events::counts] S: 3123919, E:6378, I: 6104, H: 823, R: 0, D: 0
[2020-07-07T05:21:43Z INFO  epirust::epidemiology_simulation] Throughput: 0.3524099 iterations/sec; simulation hour 300 of 10000
[2020-07-07T05:21:43Z INFO  epirust::listeners::events::counts] S: 3095398, E:12291, I: 26095, H: 1461, R: 1979, D: 0
[2020-07-07T05:26:27Z INFO  epirust::epidemiology_simulation] Throughput: 0.35218525 iterations/sec; simulation hour 400 of 10000
[2020-07-07T05:26:27Z INFO  epirust::listeners::events::counts] S: 3067847, E:17098, I: 42963, H: 4178, R: 5138, D: 0
[2020-07-07T05:31:19Z INFO  epirust::epidemiology_simulation] Throughput: 0.35010752 iterations/sec; simulation hour 500 of 10000
[2020-07-07T05:31:19Z INFO  epirust::listeners::events::counts] S: 2991332, E:42103, I: 86104, H: 9225, R: 8460, D: 0
